Restaurant_Name,City,Cuisine,Rating,Votes,Cost_For_Two,Review,Date,Month,Year,Sentiment_Label,VADER_Compound_Score,Reviewer_Name,Dining_Type,Has_Online_Delivery,Has_Table_Booking,Review_Length,Word_Count
Udupi Palace,Bangalore,South Indian,4.7,1365,400,Superb food quality and excellent presentation. The desserts were absolutely divine.,2022-01-01,January,2022,Positive,0.8181,User_5768,Takeaway,Yes,No,84,11
Udupi Palace,Pune,South Indian,4.9,4341,300,Absolutely loved the food! The biryani was heavenly and the service was top-notch.,2022-09-17,September,2022,Positive,0.5362,User_6501,Delivery,Yes,Yes,82,13
Social,Hyderabad,Mughlai,4.8,561,2000,The butter chicken here is legendary. Cannot stop thinking about it even now.,2022-12-15,December,2022,Positive,0.3983,User_6386,Delivery,No,Yes,77,13
Mocambo,Mumbai,Fast Food,1.3,2500,400,Average food at best but way too expensive for what you get. Not worth visiting.,2022-12-04,December,2022,Negative,-0.9583,User_3920,Dine-in,Yes,Yes,80,15
McDonald's,Chennai,Chinese,1.5,66,600,The biryani was bland and overpriced. Expected much better quality from this place.,2022-04-23,April,2022,Negative,-0.921,User_2377,Dine-in,No,No,83,13
6 Ballygunge Place,Hyderabad,Mexican,4.0,1339,300,Fantastic experience overall. The mutton biryani is a must-try. Worth every penny.,2022-01-06,January,2022,Positive,0.525,User_1500,Dine-in,No,No,82,12
Mainland China,Bangalore,North Indian,2.2,4132,2000,Average food at best but way too expensive for what you get. Not worth visiting.,2023-03-23,March,2023,Negative,-0.5087,User_9413,Takeaway,No,No,80,15
Karim's,Chennai,Thai,4.0,2035,300,Mouthwatering dishes! The dal makhani and naan were absolutely wonderful.,2023-09-07,September,2023,Positive,0.4306,User_7317,Delivery,No,Yes,73,10
Indian Accent,Chennai,Continental,1.2,1234,500,The biryani was bland and overpriced. Expected much better quality from this place.,2022-11-17,November,2022,Negative,-0.3638,User_2862,Takeaway,Yes,Yes,83,13
McDonald's,Hyderabad,North Indian,4.0,1409,1500,Great place for family dining. Kids loved the food and staff was very accommodating.,2023-02-17,February,2023,Positive,0.3716,User_4863,Delivery,Yes,No,84,14
Biryani Blues,Bangalore,Chinese,3.3,1998,300,Okay for a quick meal but probably not my first choice for a special occasion.,2023-05-04,May,2023,Neutral,0.2656,User_3590,Dine-in,Yes,No,78,15
Smoke House Deli,Chennai,Chinese,4.3,3162,1200,The portions are generous and the taste is authentic. Great value for money indeed.,2023-04-04,April,2023,Positive,0.3275,User_1485,Delivery,Yes,Yes,83,14
Zara,Ahmedabad,Mughlai,1.6,3997,1200,Not hygienic at all. Found something unexpected in my food. Completely put off.,2023-12-19,December,2023,Negative,-0.3201,User_3196,Dine-in,Yes,No,79,13
Udupi Palace,Bangalore,Continental,2.9,3044,200,Decent place with average food. Nothing extraordinary but nothing terrible either.,2023-12-17,December,2023,Neutral,0.1995,User_2196,Dine-in,No,Yes,82,11
Pind Balluchi,Ahmedabad,Chinese,4.3,4366,1000,Amazing ambiance and delicious food. Highly recommended to all food lovers!,2022-03-08,March,2022,Positive,0.5025,User_4397,Takeaway,Yes,No,75,11
Peter Cat,Hyderabad,Mexican,1.4,1396,1500,Pathetic quality control. The food was terrible and caused stomach issues afterwards.,2022-04-16,April,2022,Negative,-0.6111,User_9376,Takeaway,Yes,No,85,12
The Irish House,Bangalore,Bengali,4.4,1489,600,The portions are generous and the taste is authentic. Great value for money indeed.,2022-02-10,February,2022,Positive,0.6347,User_4805,Delivery,No,Yes,83,14
Dominos Pizza,Kolkata,Mexican,3.9,1542,2000,Fantastic experience overall. The mutton biryani is a must-try. Worth every penny.,2023-08-16,August,2023,Positive,0.5985,User_2325,Takeaway,Yes,No,82,12
Smoke House Deli,Chennai,Bengali,1.0,4070,200,Worst dining experience ever. The chicken was undercooked and completely tasteless.,2023-11-03,November,2023,Negative,-0.6715,User_8855,Delivery,Yes,No,83,11
6 Ballygunge Place,Chennai,Mexican,1.4,3419,1500,Extremely slow service. The food arrived cold and without proper presentation at all.,2023-01-22,January,2023,Negative,-0.7574,User_7792,Dine-in,Yes,Yes,85,13
Flurys,Delhi,Fast Food,3.0,2299,1500,Standard restaurant with regular Indian food. Nothing to write home about really.,2022-09-21,September,2022,Neutral,0.1687,User_6881,Delivery,Yes,Yes,81,12
Karim's,Kolkata,Fast Food,4.8,561,800,Fantastic experience overall. The mutton biryani is a must-try. Worth every penny.,2022-02-05,February,2022,Positive,0.4322,User_6751,Delivery,Yes,No,82,12
Social,Kolkata,South Indian,2.9,888,800,Good location but the food is just okay. Service was average and took some time.,2022-11-13,November,2022,Neutral,-0.0536,User_4774,Delivery,Yes,No,80,15
Rajdhani,Delhi,Fast Food,1.1,1953,400,Food was not at all what was shown in the menu photos. Very deceiving experience.,2022-05-26,May,2022,Negative,-0.8339,User_5273,Dine-in,No,No,81,15
Aaheli,Ahmedabad,North Indian,3.7,4474,500,Moderate experience overall. Some dishes were good while others were just average.,2022-06-26,June,2022,Neutral,0.1956,User_2835,Dine-in,Yes,No,82,12
Haldirams,Hyderabad,Fast Food,3.5,993,400,Okay for a quick meal but probably not my first choice for a special occasion.,2022-11-24,November,2022,Neutral,0.145,User_2156,Dine-in,No,No,78,15
Zara,Pune,Italian,2.7,4977,600,Not hygienic at all. Found something unexpected in my food. Completely put off.,2022-03-31,March,2022,Negative,-0.8478,User_4372,Dine-in,Yes,Yes,79,13
Flurys,Pune,Chinese,3.6,2135,2000,Decent place with average food. Nothing extraordinary but nothing terrible either.,2022-12-09,December,2022,Neutral,0.1392,User_1431,Dine-in,Yes,Yes,82,11
Aaheli,Delhi,Italian,2.0,374,200,Food was not at all what was shown in the menu photos. Very deceiving experience.,2022-04-05,April,2022,Negative,-0.7394,User_3113,Dine-in,Yes,No,81,15
Haldirams,Chennai,North Indian,3.9,3488,300,"Loved everything about this place. The ambiance, food, and service all 10 out of 10.",2023-03-09,March,2023,Positive,0.6625,User_8710,Takeaway,No,Yes,84,15
Taco Bell,Mumbai,Continental,1.9,1061,500,The biryani was bland and overpriced. Expected much better quality from this place.,2022-01-12,January,2022,Negative,-0.3597,User_1337,Delivery,Yes,No,83,13
Aminia,Chennai,Italian,1.6,553,800,Food was not at all what was shown in the menu photos. Very deceiving experience.,2023-02-26,February,2023,Negative,-0.9269,User_1737,Dine-in,No,No,81,15
Biryani Blues,Mumbai,North Indian,1.4,3739,800,Very disappointing. The food tasted stale and the place looked dirty and unkempt.,2023-01-11,January,2023,Negative,-0.8359,User_5971,Dine-in,Yes,No,81,13
Subway,Bangalore,Italian,1.8,1078,1200,Worst dining experience ever. The chicken was undercooked and completely tasteless.,2023-12-11,December,2023,Negative,-0.3976,User_2394,Delivery,No,Yes,83,11
Bohemian,Ahmedabad,Thai,3.3,530,800,Average restaurant overall. Food is decent but presentation could be much better.,2023-03-25,March,2023,Neutral,-0.0143,User_4567,Takeaway,No,No,81,12
Haldirams,Bangalore,Italian,2.0,1326,1200,Very disappointing. The food tasted stale and the place looked dirty and unkempt.,2023-09-22,September,2023,Negative,-0.5984,User_1683,Delivery,No,Yes,81,13
Mainland China,Chennai,Fast Food,4.2,702,1500,Outstanding experience from start to finish. The staff was very friendly and welcoming.,2023-02-24,February,2023,Positive,0.8175,User_8475,Takeaway,Yes,No,87,13
KFC,Delhi,Bengali,3.5,2041,200,Visited twice and both times it was a mixed bag experience. Inconsistent quality.,2023-11-25,November,2023,Neutral,0.1673,User_2752,Delivery,No,No,81,13
Aaheli,Kolkata,Mexican,3.9,1963,800,Perfect dining experience. The chef clearly knows what they are doing with each dish.,2023-10-15,October,2023,Positive,0.9891,User_7411,Takeaway,Yes,Yes,85,14
Karim's,Chennai,Continental,2.1,2600,2000,The staff was rude and unhelpful. Will never visit again and do not recommend.,2023-11-22,November,2023,Negative,-0.6864,User_5123,Dine-in,No,Yes,78,14
Bohemian,Kolkata,Mughlai,3.0,2919,300,Decent place with average food. Nothing extraordinary but nothing terrible either.,2023-04-25,April,2023,Neutral,-0.2673,User_4231,Delivery,No,Yes,82,11
Barbeque Nation,Kolkata,Fast Food,2.4,2197,800,Worst dining experience ever. The chicken was undercooked and completely tasteless.,2023-11-21,November,2023,Negative,-0.471,User_5627,Dine-in,No,No,83,11
Oh! Calcutta,Ahmedabad,Thai,3.8,877,400,Not bad but not great either. Service was slow but the staff was polite throughout.,2022-06-18,June,2022,Neutral,0.0527,User_1512,Takeaway,Yes,No,83,15
Pizza Hut,Delhi,Continental,4.5,1433,300,Superb food quality and excellent presentation. The desserts were absolutely divine.,2022-03-11,March,2022,Positive,0.6461,User_5834,Delivery,Yes,No,84,11
Karim's,Ahmedabad,Thai,1.2,4531,600,Food was not at all what was shown in the menu photos. Very deceiving experience.,2023-12-12,December,2023,Negative,-0.3786,User_8004,Delivery,No,Yes,81,15
Bohemian,Pune,Continental,3.8,4086,600,The ambiance is nice but food quality could be improved considerably.,2022-10-27,October,2022,Neutral,-0.2244,User_1971,Takeaway,No,No,69,11
Arsalan,Mumbai,South Indian,3.4,1994,500,Good location but the food is just okay. Service was average and took some time.,2022-01-15,January,2022,Neutral,-0.0203,User_3572,Delivery,No,Yes,80,15
Pind Balluchi,Chennai,Italian,1.9,4352,1000,Terrible service! Waited for over an hour and the food arrived cold and tasteless.,2023-01-21,January,2023,Negative,-0.9058,User_8911,Takeaway,No,Yes,82,14
Social,Delhi,Continental,2.0,4882,1200,The staff was rude and unhelpful. Will never visit again and do not recommend.,2023-04-21,April,2023,Negative,-0.9292,User_9195,Takeaway,Yes,No,78,14
Bukhara,Bangalore,Continental,4.8,494,500,Outstanding experience from start to finish. The staff was very friendly and welcoming.,2023-11-28,November,2023,Positive,0.3848,User_2527,Takeaway,No,No,87,13
Smoke House Deli,Bangalore,Italian,4.9,4188,300,Outstanding experience from start to finish. The staff was very friendly and welcoming.,2023-01-16,January,2023,Positive,0.7825,User_3043,Dine-in,No,No,87,13
Nizam,Mumbai,Bengali,4.1,1630,600,The food quality is exceptional. Every dish was perfectly cooked with fresh ingredients.,2023-04-17,April,2023,Positive,0.9325,User_3532,Delivery,No,No,88,13
Pind Balluchi,Delhi,Fast Food,4.2,1693,400,Amazing ambiance and delicious food. Highly recommended to all food lovers!,2023-11-19,November,2023,Positive,0.9127,User_3022,Dine-in,No,No,75,11
McDonald's,Mumbai,South Indian,2.2,849,1200,Terrible service! Waited for over an hour and the food arrived cold and tasteless.,2022-01-12,January,2022,Negative,-0.9806,User_5060,Takeaway,No,Yes,82,14
Barbeque Nation,Delhi,Fast Food,3.0,3482,400,The ambiance is nice but food quality could be improved considerably.,2022-09-29,September,2022,Neutral,0.1049,User_8171,Takeaway,Yes,No,69,11
The Irish House,Chennai,Chinese,3.9,4686,800,The portions are generous and the taste is authentic. Great value for money indeed.,2022-04-22,April,2022,Positive,0.8828,User_6096,Delivery,Yes,No,83,14
Dominos Pizza,Chennai,Fast Food,4.7,1273,1500,"Loved everything about this place. The ambiance, food, and service all 10 out of 10.",2022-11-21,November,2022,Positive,0.9977,User_7577,Takeaway,Yes,No,84,15
Barbeque Nation,Mumbai,Continental,3.6,1578,400,Visited twice and both times it was a mixed bag experience. Inconsistent quality.,2022-02-02,February,2022,Neutral,0.0941,User_3188,Dine-in,No,No,81,13
Zara,Hyderabad,Fast Food,4.0,1414,800,The butter chicken here is legendary. Cannot stop thinking about it even now.,2023-10-06,October,2023,Positive,0.7688,User_9322,Takeaway,Yes,No,77,13
The Great Kabab Factory,Ahmedabad,Fast Food,4.7,1745,1200,"Loved everything about this place. The ambiance, food, and service all 10 out of 10.",2023-08-23,August,2023,Positive,0.6559,User_6909,Delivery,No,Yes,84,15
Rajdhani,Bangalore,Continental,1.9,4642,600,Not hygienic at all. Found something unexpected in my food. Completely put off.,2022-10-20,October,2022,Negative,-0.6623,User_7398,Delivery,Yes,Yes,79,13
Punjab Grill,Pune,Continental,3.3,1121,1500,Decent place with average food. Nothing extraordinary but nothing terrible either.,2023-06-29,June,2023,Neutral,-0.0681,User_7392,Delivery,No,Yes,82,11
Oh! Calcutta,Kolkata,Fast Food,3.3,2387,800,Average restaurant overall. Food is decent but presentation could be much better.,2023-07-30,July,2023,Neutral,-0.1633,User_7223,Dine-in,Yes,Yes,81,12
KFC,Delhi,Continental,4.8,4950,500,Amazing ambiance and delicious food. Highly recommended to all food lovers!,2022-12-29,December,2022,Positive,0.4773,User_8128,Dine-in,Yes,No,75,11
Barbeque Nation,Hyderabad,Chinese,3.3,1124,1000,Okay for a quick meal but probably not my first choice for a special occasion.,2022-05-27,May,2022,Neutral,-0.0358,User_6907,Takeaway,Yes,No,78,15
Pind Balluchi,Hyderabad,South Indian,1.4,4798,500,Terrible service! Waited for over an hour and the food arrived cold and tasteless.,2023-10-27,October,2023,Negative,-0.7398,User_5868,Dine-in,No,No,82,14
Subway,Ahmedabad,Thai,2.3,4855,1200,Overpriced for mediocre food quality. Definitely not worth it at all.,2022-04-03,April,2022,Negative,-0.83,User_5335,Takeaway,No,No,69,11
Udupi Palace,Chennai,Mexican,2.4,960,1500,Worst dining experience ever. The chicken was undercooked and completely tasteless.,2023-04-13,April,2023,Negative,-0.7522,User_3839,Delivery,Yes,Yes,83,11
Aminia,Chennai,Chinese,4.4,203,600,Best restaurant in the city! Will definitely come back. Highly recommend to everyone.,2022-05-29,May,2022,Positive,0.3929,User_3644,Dine-in,Yes,No,85,13
Pizza Hut,Ahmedabad,Mughlai,4.9,341,600,The portions are generous and the taste is authentic. Great value for money indeed.,2022-02-01,February,2022,Positive,0.4894,User_5557,Takeaway,No,No,83,14
Karim's,Mumbai,South Indian,4.1,2878,200,The portions are generous and the taste is authentic. Great value for money indeed.,2022-05-06,May,2022,Positive,0.3556,User_1107,Dine-in,Yes,Yes,83,14
Mainland China,Ahmedabad,Continental,2.1,3633,400,Worst dining experience ever. The chicken was undercooked and completely tasteless.,2023-06-23,June,2023,Negative,-0.8812,User_7881,Delivery,No,No,83,11
Taco Bell,Hyderabad,Mexican,4.1,1595,1200,The butter chicken here is legendary. Cannot stop thinking about it even now.,2022-08-23,August,2022,Positive,0.9375,User_3182,Takeaway,No,Yes,77,13
Nizam,Pune,Mexican,5.0,3117,400,Fantastic experience overall. The mutton biryani is a must-try. Worth every penny.,2022-01-13,January,2022,Positive,0.3838,User_1023,Delivery,No,Yes,82,12
Haldirams,Chennai,Italian,3.8,3144,2000,Okay for a quick meal but probably not my first choice for a special occasion.,2023-01-30,January,2023,Neutral,0.1181,User_6624,Dine-in,No,Yes,78,15
Karim's,Kolkata,Bengali,4.2,1603,1500,Absolutely loved the food! The biryani was heavenly and the service was top-notch.,2023-08-05,August,2023,Positive,0.303,User_2073,Takeaway,No,Yes,82,13
The Great Kabab Factory,Kolkata,North Indian,4.8,1076,300,The food quality is exceptional. Every dish was perfectly cooked with fresh ingredients.,2022-08-22,August,2022,Positive,0.627,User_8804,Dine-in,No,Yes,88,13
Punjab Grill,Kolkata,North Indian,3.5,229,2000,The ambiance is nice but food quality could be improved considerably.,2023-01-18,January,2023,Neutral,-0.0277,User_9609,Dine-in,No,Yes,69,11
Biryani Blues,Delhi,Bengali,4.5,1003,400,Absolutely loved the food! The biryani was heavenly and the service was top-notch.,2022-03-29,March,2022,Positive,0.7398,User_9559,Takeaway,No,No,82,13
Taco Bell,Hyderabad,Mexican,3.4,1727,500,Standard restaurant with regular Indian food. Nothing to write home about really.,2022-05-15,May,2022,Neutral,0.1635,User_2235,Delivery,No,No,81,12
KFC,Ahmedabad,Fast Food,3.8,4317,1500,Perfect dining experience. The chef clearly knows what they are doing with each dish.,2022-01-15,January,2022,Positive,0.4171,User_9821,Dine-in,No,Yes,85,14
Nizam,Chennai,South Indian,4.0,1820,300,Absolutely loved the food! The biryani was heavenly and the service was top-notch.,2022-10-14,October,2022,Positive,0.8567,User_1393,Dine-in,No,No,82,13
Aminia,Kolkata,Thai,1.6,4824,200,Not hygienic at all. Found something unexpected in my food. Completely put off.,2022-12-13,December,2022,Negative,-0.5221,User_6550,Takeaway,Yes,No,79,13
Udupi Palace,Delhi,Continental,1.3,2396,2000,Not hygienic at all. Found something unexpected in my food. Completely put off.,2023-02-27,February,2023,Negative,-0.8263,User_7444,Dine-in,No,Yes,79,13
Aaheli,Pune,Fast Food,3.9,2536,200,Great place for family dining. Kids loved the food and staff was very accommodating.,2022-05-18,May,2022,Positive,0.837,User_4702,Takeaway,No,No,84,14
Mainland China,Chennai,Mughlai,4.9,4964,600,"Loved everything about this place. The ambiance, food, and service all 10 out of 10.",2022-07-18,July,2022,Positive,0.4826,User_4296,Takeaway,No,Yes,84,15
Peter Cat,Pune,Bengali,4.3,4627,1000,Absolutely loved the food! The biryani was heavenly and the service was top-notch.,2023-07-28,July,2023,Positive,0.9261,User_9368,Takeaway,No,No,82,13
Mocambo,Chennai,Mexican,3.9,1248,1200,Superb food quality and excellent presentation. The desserts were absolutely divine.,2023-03-24,March,2023,Positive,0.5767,User_8025,Delivery,Yes,No,84,11
Oudh 1590,Hyderabad,Mexican,4.9,603,200,Perfect dining experience. The chef clearly knows what they are doing with each dish.,2023-04-30,April,2023,Positive,0.4516,User_3623,Delivery,Yes,Yes,85,14
Peter Cat,Chennai,Fast Food,2.0,3602,500,The biryani was bland and overpriced. Expected much better quality from this place.,2022-09-22,September,2022,Negative,-0.8969,User_9955,Dine-in,No,No,83,13
Biryani Blues,Chennai,North Indian,4.0,3067,1200,Perfect dining experience. The chef clearly knows what they are doing with each dish.,2023-06-06,June,2023,Positive,0.5412,User_7453,Takeaway,Yes,No,85,14
Zara,Bangalore,North Indian,3.5,1716,1200,Moderate experience overall. Some dishes were good while others were just average.,2022-06-12,June,2022,Neutral,0.2691,User_6608,Delivery,Yes,Yes,82,12
Karim's,Pune,Bengali,3.0,2806,1500,Good location but the food is just okay. Service was average and took some time.,2022-01-28,January,2022,Neutral,-0.1505,User_8501,Takeaway,No,Yes,80,15
Karim's,Hyderabad,Chinese,1.6,4764,200,Overpriced for mediocre food quality. Definitely not worth it at all.,2022-01-21,January,2022,Negative,-0.7281,User_9841,Takeaway,Yes,No,69,11
Aminia,Hyderabad,Mughlai,2.3,609,600,Terrible service! Waited for over an hour and the food arrived cold and tasteless.,2022-07-27,July,2022,Negative,-0.8561,User_5028,Takeaway,No,No,82,14
The Irish House,Bangalore,Mexican,4.7,3645,2000,The portions are generous and the taste is authentic. Great value for money indeed.,2023-09-24,September,2023,Positive,0.6753,User_8228,Dine-in,No,Yes,83,14
Peter Cat,Delhi,North Indian,3.9,3656,500,The portions are generous and the taste is authentic. Great value for money indeed.,2022-09-03,September,2022,Positive,0.4946,User_1514,Dine-in,No,Yes,83,14
Aminia,Chennai,Continental,4.3,1962,1000,Mouthwatering dishes! The dal makhani and naan were absolutely wonderful.,2023-10-15,October,2023,Positive,0.7622,User_9253,Takeaway,No,No,73,10
Taco Bell,Mumbai,Fast Food,3.6,3079,600,Average restaurant overall. Food is decent but presentation could be much better.,2022-11-29,November,2022,Neutral,0.1995,User_9218,Delivery,No,Yes,81,12
Bohemian,Bangalore,Continental,1.9,4154,1200,Pathetic quality control. The food was terrible and caused stomach issues afterwards.,2022-06-24,June,2022,Negative,-0.9531,User_6923,Dine-in,Yes,No,85,12
McDonald's,Ahmedabad,Chinese,4.1,1127,400,The butter chicken here is legendary. Cannot stop thinking about it even now.,2022-03-26,March,2022,Positive,0.7004,User_4357,Takeaway,Yes,Yes,77,13
KFC,Kolkata,Mexican,1.9,65,400,Terrible service! Waited for over an hour and the food arrived cold and tasteless.,2022-08-05,August,2022,Negative,-0.4245,User_5742,Takeaway,No,No,82,14
Rajdhani,Pune,Bengali,3.0,914,600,Average restaurant overall. Food is decent but presentation could be much better.,2023-11-14,November,2023,Neutral,0.198,User_8612,Takeaway,No,No,81,12
Biryani Blues,Chennai,Fast Food,4.8,2550,1000,Perfect dining experience. The chef clearly knows what they are doing with each dish.,2022-04-12,April,2022,Positive,0.7037,User_7071,Delivery,No,No,85,14
Mocambo,Pune,Fast Food,3.2,393,1000,Visited during lunch. The thali was alright but nothing particularly special.,2023-05-08,May,2023,Neutral,0.2168,User_6780,Dine-in,Yes,No,77,11
Pizza Hut,Pune,Continental,4.9,2365,200,Incredible flavors! This is my go-to place for celebrations and special occasions.,2023-01-08,January,2023,Positive,0.3494,User_9802,Takeaway,No,Yes,82,12
Zara,Ahmedabad,Chinese,4.7,640,1000,Outstanding experience from start to finish. The staff was very friendly and welcoming.,2022-01-06,January,2022,Positive,0.3992,User_6927,Takeaway,Yes,No,87,13
Nizam,Bangalore,Mexican,3.6,2267,1000,Average restaurant overall. Food is decent but presentation could be much better.,2023-06-23,June,2023,Neutral,-0.1607,User_1568,Dine-in,No,No,81,12
Pizza Hut,Chennai,Mughlai,3.1,2114,300,Visited during lunch. The thali was alright but nothing particularly special.,2022-06-16,June,2022,Neutral,-0.2775,User_5049,Dine-in,Yes,Yes,77,11
Flurys,Hyderabad,Mexican,3.1,927,300,Moderate experience overall. Some dishes were good while others were just average.,2022-03-22,March,2022,Neutral,-0.2881,User_9328,Delivery,Yes,No,82,12
Rajdhani,Chennai,Thai,4.4,2922,600,Incredible flavors! This is my go-to place for celebrations and special occasions.,2022-05-17,May,2022,Positive,0.5238,User_3514,Takeaway,No,Yes,82,12
Udupi Palace,Mumbai,Continental,4.3,1739,1500,Perfect dining experience. The chef clearly knows what they are doing with each dish.,2023-04-11,April,2023,Positive,0.4771,User_6199,Dine-in,No,Yes,85,14
Aaheli,Ahmedabad,South Indian,1.7,3549,2000,Worst dining experience ever. The chicken was undercooked and completely tasteless.,2023-03-11,March,2023,Negative,-0.7218,User_5054,Takeaway,Yes,No,83,11
Flurys,Pune,Continental,4.4,386,1000,"Fresh ingredients, wonderful taste, superb service. Came back thrice this month!",2023-11-30,November,2023,Positive,0.3986,User_3009,Takeaway,Yes,No,80,11
Pizza Hut,Chennai,Mughlai,3.5,1615,2000,Okay for a quick meal but probably not my first choice for a special occasion.,2022-06-22,June,2022,Neutral,-0.0475,User_7444,Takeaway,No,Yes,78,15
Peter Cat,Kolkata,South Indian,4.3,408,2000,Perfect dining experience. The chef clearly knows what they are doing with each dish.,2023-08-02,August,2023,Positive,0.6039,User_2482,Dine-in,Yes,No,85,14
Haldirams,Delhi,Mexican,4.7,4433,500,The butter chicken here is legendary. Cannot stop thinking about it even now.,2022-01-10,January,2022,Positive,0.9047,User_8441,Dine-in,Yes,Yes,77,13
KFC,Kolkata,South Indian,1.5,2506,400,Very bad experience overall. The manager was unapologetic about the long wait time.,2023-01-27,January,2023,Negative,-0.7537,User_5434,Delivery,Yes,Yes,83,13
Mainland China,Mumbai,Mughlai,4.1,2900,500,The portions are generous and the taste is authentic. Great value for money indeed.,2023-09-09,September,2023,Positive,0.8544,User_1597,Takeaway,Yes,No,83,14
The Irish House,Bangalore,Mughlai,4.6,1935,200,The food quality is exceptional. Every dish was perfectly cooked with fresh ingredients.,2022-10-11,October,2022,Positive,0.3639,User_1879,Takeaway,No,No,88,13
Saravana Bhavan,Chennai,South Indian,1.1,1563,600,Overpriced for mediocre food quality. Definitely not worth it at all.,2023-06-26,June,2023,Negative,-0.3811,User_6677,Dine-in,No,No,69,11
Karim's,Delhi,Mexican,4.1,4638,2000,Fantastic experience overall. The mutton biryani is a must-try. Worth every penny.,2022-02-25,February,2022,Positive,0.4289,User_8628,Dine-in,Yes,No,82,12
Yauatcha,Delhi,Continental,3.0,3976,1200,Moderate experience overall. Some dishes were good while others were just average.,2022-01-13,January,2022,Neutral,0.2444,User_2576,Takeaway,Yes,Yes,82,12
Udupi Palace,Hyderabad,Chinese,1.9,2914,1000,Not hygienic at all. Found something unexpected in my food. Completely put off.,2023-05-17,May,2023,Negative,-0.5499,User_6622,Delivery,No,No,79,13
Haldirams,Ahmedabad,Chinese,4.9,884,1500,"Loved everything about this place. The ambiance, food, and service all 10 out of 10.",2022-11-14,November,2022,Positive,0.5363,User_5720,Delivery,Yes,Yes,84,15
Moti Mahal,Pune,Mughlai,4.6,4984,400,Great place for family dining. Kids loved the food and staff was very accommodating.,2023-08-14,August,2023,Positive,0.7061,User_5362,Dine-in,No,Yes,84,14
Pizza Hut,Mumbai,Fast Food,3.9,4674,500,"Fresh ingredients, wonderful taste, superb service. Came back thrice this month!",2022-08-16,August,2022,Positive,0.9193,User_1828,Delivery,Yes,No,80,11
Oudh 1590,Kolkata,Thai,4.8,582,2000,Outstanding experience from start to finish. The staff was very friendly and welcoming.,2022-08-09,August,2022,Positive,0.6312,User_3156,Takeaway,Yes,Yes,87,13
Mocambo,Mumbai,Mexican,4.2,2590,800,"Loved everything about this place. The ambiance, food, and service all 10 out of 10.",2023-12-15,December,2023,Positive,0.4697,User_8568,Takeaway,Yes,No,84,15
Taco Bell,Mumbai,South Indian,4.0,2674,1000,"Fresh ingredients, wonderful taste, superb service. Came back thrice this month!",2023-12-25,December,2023,Positive,0.4241,User_2455,Dine-in,Yes,No,80,11
Mamagoto,Hyderabad,Mughlai,4.3,4625,400,The food quality is exceptional. Every dish was perfectly cooked with fresh ingredients.,2022-08-04,August,2022,Positive,0.5031,User_7855,Takeaway,Yes,No,88,13
Subway,Bangalore,North Indian,2.2,4107,1000,Not hygienic at all. Found something unexpected in my food. Completely put off.,2023-03-29,March,2023,Negative,-0.8844,User_4915,Delivery,Yes,No,79,13
Aaheli,Delhi,Thai,3.7,471,300,Average restaurant overall. Food is decent but presentation could be much better.,2023-05-09,May,2023,Neutral,-0.1082,User_4576,Dine-in,No,Yes,81,12
Mainland China,Delhi,North Indian,2.3,4224,800,Terrible service! Waited for over an hour and the food arrived cold and tasteless.,2022-05-24,May,2022,Negative,-0.8518,User_7948,Takeaway,No,No,82,14
Udupi Palace,Chennai,Mughlai,3.9,3798,600,The portions are generous and the taste is authentic. Great value for money indeed.,2023-11-05,November,2023,Positive,0.416,User_1455,Dine-in,No,No,83,14
Indian Accent,Hyderabad,Italian,4.8,4338,1000,Outstanding experience from start to finish. The staff was very friendly and welcoming.,2023-11-18,November,2023,Positive,0.5476,User_5670,Dine-in,No,No,87,13
Indian Accent,Hyderabad,Fast Food,4.4,3011,1500,Incredible flavors! This is my go-to place for celebrations and special occasions.,2022-03-11,March,2022,Positive,0.5195,User_2773,Takeaway,No,No,82,12
6 Ballygunge Place,Pune,Fast Food,1.7,113,1000,The biryani was bland and overpriced. Expected much better quality from this place.,2022-12-02,December,2022,Negative,-0.5941,User_1684,Takeaway,Yes,Yes,83,13
Mocambo,Kolkata,Chinese,4.3,733,400,Fantastic experience overall. The mutton biryani is a must-try. Worth every penny.,2022-09-20,September,2022,Positive,0.4904,User_1142,Takeaway,Yes,Yes,82,12
Pizza Hut,Kolkata,South Indian,1.7,1631,800,Worst dining experience ever. The chicken was undercooked and completely tasteless.,2023-10-12,October,2023,Negative,-0.3575,User_8424,Takeaway,Yes,Yes,83,11
Aminia,Pune,Mughlai,4.1,480,500,Best restaurant in the city! Will definitely come back. Highly recommend to everyone.,2022-11-11,November,2022,Positive,0.955,User_4029,Takeaway,No,Yes,85,13
Flurys,Mumbai,Italian,1.3,1650,200,Overpriced for mediocre food quality. Definitely not worth it at all.,2022-05-05,May,2022,Negative,-0.6083,User_6926,Takeaway,Yes,No,69,11
The Irish House,Bangalore,Chinese,1.1,4661,600,Worst dining experience ever. The chicken was undercooked and completely tasteless.,2023-11-21,November,2023,Negative,-0.4986,User_7457,Dine-in,No,Yes,83,11
Oh! Calcutta,Pune,Mexican,3.4,1750,1500,Moderate experience overall. Some dishes were good while others were just average.,2023-04-25,April,2023,Neutral,0.2527,User_5817,Delivery,No,No,82,12
Oudh 1590,Delhi,North Indian,3.4,3222,1000,Average restaurant overall. Food is decent but presentation could be much better.,2023-02-13,February,2023,Neutral,-0.1136,User_7181,Takeaway,No,Yes,81,12
